hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
284,287,65.5,52.1,54,6,8.6,6,4,0,0,0,71.5,60.7,60,0.78,-0.98,-0.82,-0.5,-2.3,-1.52,6
284,277,75,69.1,66,0,18,0,4,2,1,0,77,88.1,66,0.38,1.4,-0.15,-0.66,0.6,0.98,4
284,277,66.5,62,73,9,13.2,10,4,2,1,0,77.5,76.2,83,-0.11,-0.32,1.17,0.23,1.09,0.98,4
284,281,64,58.3,64,0,0.6,0,4,1,0,0,65,58.9,64,0.33,-0.18,0.27,-0.44,-0.35,-0.02,5
284,277,74,68.7,68,3,13.4,3,4,2,1,0,79,83.1,71,1.21,-0.73,0.64,-0.14,-0.23,0.98,4
284,280,59.5,56.3,67,3,7,3,4,1,0,0,63.5,63.3,70,0.87,-0.14,-0.23,-0.27,-0.64,0.23,5
284,285,61.5,53.2,61,0,6,0,4,0,0,0,61.5,59.2,61,0.14,0.37,0.59,-2.12,-1.16,-1.02,6
284,276,74,70,68,3,12.6,3,4,3,2,0,80,84.6,71,-0.01,0.34,1.16,-0.27,1.24,1.23,3
284,276,69.5,66.7,71,3,12.4,3,4,3,2,0,75.5,81.1,74,-0.85,1.08,-0.26,1.26,2.08,1.23,3
284,275,81,74.5,70,6,14.6,6,4,4,3,1,91,92.1,77,-0.96,0.6,0.91,0.92,2.44,1.48,3
284,275,76.5,71.2,73,11,19.6,7,4,4,3,1,91.5,93.8,81,0.22,0.46,0.29,0.51,1.26,1.48,3
284,268,91.5,88.1,79,9,26.6,10,4,30,30,15,130.5,144.7,104,1.62,0.69,-0.4,1.31,1.6,3.23,1
284,274,79,75.2,70,0,18,0,4,4,3,1,83,96.2,71,1.61,0.02,0.32,-0.22,0.12,1.73,3
284,291,46,37,51,0,6.6,0,4,0,0,0,46,43.6,51,-0.58,-1.18,-0.76,0,-1.95,-2.52,6
284,269,87.5,84.4,79,6,21.4,6,4,18,18,11,111.5,123.8,96,1.33,0.51,0.94,0.2,1.65,2.98,1
284,276,68.5,65.1,73,9,18.8,11,4,3,2,0,80.5,85.9,84,0.45,0.52,0.4,-0.14,0.78,1.23,3
284,273,78,74.7,76,0,11.4,0,4,6,5,3,84,91.1,79,0.96,-0.36,0.93,0.45,1.02,1.98,2
284,279,62.5,58.4,69,3,11.8,4,4,2,1,0,67.5,71.2,73,-0.31,-0.52,0.6,0.7,0.78,0.48,4
284,269,82.5,80.2,85,11,21.8,8,4,18,18,11,111.5,120,104,-0.31,1.01,1.04,1.24,3.29,2.98,1
284,280,68.5,61.5,65,0,7,0,4,1,0,0,69.5,68.5,65,1.08,0.47,-0.18,-1.14,-0.85,0.23,5
