hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
280,282,46.5,41.3,61,3,5.8,4,4,4,3,1,53.5,50.1,66,0.74,0.38,-0.1,0.8,1.08,1.83,3
280,288,36,29,52,0,0,0,4,0,0,0,36,29,52,-0.66,0.36,0.79,-0.16,0.99,0.33,6
280,292,42,28.6,40,0,6.2,0,4,0,0,0,42,34.8,40,-0.24,-0.45,0.32,-0.3,-0.43,-0.67,6
280,279,55.5,50.2,63,0,6.8,0,4,8,7,5,63.5,64,68,0.38,0.92,0.87,0.41,2.2,2.58,1
280,298,32.5,17.8,32,0,1.2,0,4,0,0,0,32.5,19,32,-0.74,-0.16,-1.02,-0.25,-1.43,-2.17,6
280,283,51,43.3,58,0,1,0,4,3,2,0,54,46.3,58,0.17,0.55,0.55,0.31,1.41,1.58,3
280,277,66,60.3,60,3,14,3,4,14,14,9,83,88.3,72,0.91,0.66,1.18,0.33,2.17,3.08,1
280,281,53,45.1,62,0,0.8,0,4,5,4,2,58,49.9,64,0.07,0.73,0.79,0.49,2.01,2.08,2
280,280,59,51.9,61,3,7.6,3,4,6,5,3,68,64.5,67,0.88,0.41,0.9,0.14,1.45,2.33,2
280,279,62,54.1,60,3,12.2,3,4,8,7,5,73,73.3,68,1.16,0.3,1.96,-0.84,1.42,2.58,1
280,285,47.5,40.6,51,0,1.4,0,4,1,0,0,48.5,42,51,0.02,1.7,-0.4,-0.24,1.06,1.08,5
280,292,42,28.6,40,3,7,3,4,0,0,0,45,35.6,43,-0.2,-0.4,0.12,-0.19,-0.47,-0.67,6
280,285,43,37.3,54,0,0,0,4,1,0,0,44,37.3,54,-0.05,0.1,0.67,0.36,1.12,1.08,5
280,281,58.5,51.2,57,3,7.6,3,4,5,4,2,66.5,62.8,62,0.51,0.38,0.65,0.54,1.56,2.08,2
280,275,65,61.1,66,6,18.6,7,4,20,20,13,91,99.7,86,1.16,0.63,1.28,0.5,2.41,3.58,1
280,280,52.5,48.1,61,0,0.6,0,4,6,5,3,58.5,53.7,64,0.36,0.15,0.99,0.82,1.97,2.33,2
