@relation 2021_US_Open_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
280,295,0.18,-0.01,0.25,-0.1,0.14,0.32,5
280,292,1.24,0.27,-0.2,-0.25,-0.18,1.07,4
280,282,1.51,0.86,1.09,0.11,2.06,3.57,1
280,287,0.34,0.66,0.48,0.84,1.98,2.32,2
280,296,-1.01,0.98,0.34,-0.25,1.08,0.07,5
280,295,-0.28,-0.59,1.11,0.08,0.6,0.32,5
280,280,0.61,0.87,1.79,0.79,3.46,4.07,1
280,295,-0.45,0.35,0.44,-0.02,0.77,0.32,5
280,288,0,0.23,1.18,0.65,2.07,2.07,2
280,287,1.25,0.08,1.64,-0.65,1.06,2.32,2
280,290,2.03,0.37,-0.38,-0.45,-0.46,1.57,3
280,297,-1.72,0.11,0.89,0.54,1.54,-0.18,5
280,298,-0.1,0.37,-0.24,-0.45,-0.33,-0.43,6
280,293,0.47,-0.69,1,0.03,0.35,0.82,4
280,301,-0.87,-0.5,0.1,0.09,-0.31,-1.18,6
280,286,0.71,0.38,0.02,1.46,1.85,2.57,1
280,304,0.36,-1.3,-0.46,-0.52,-2.29,-1.93,6
280,289,-0.14,-0.1,1.45,0.61,1.96,1.82,3
280,305,-1.36,-0.5,0.87,-1.2,-0.83,-2.18,6
280,293,0.83,1.12,-0.53,-0.6,-0.01,0.82,4
280,295,0.62,-0.76,0.43,0.02,-0.3,0.32,5
280,304,-0.46,0.13,-0.99,-0.6,-1.47,-1.93,6
280,297,-0.18,0.47,-0.12,-0.35,0,-0.18,5
280,293,-0.97,0.5,1.7,-0.4,1.79,0.82,4
280,286,-0.62,0.7,1.84,0.65,3.19,2.57,1
280,302,0.73,-1.44,-0.32,-0.41,-2.16,-1.43,6
280,290,0.27,0.61,-0.38,1.07,1.3,1.57,3
280,290,-1.08,0.56,1.36,0.73,2.65,1.57,3
280,287,0.17,0.58,1.08,0.48,2.15,2.32,2
280,286,1.79,1.16,-0.51,0.13,0.78,2.57,1
280,285,0.07,0.38,1.65,0.71,2.74,2.82,1
280,284,1.48,1.44,0.16,-0.01,1.58,3.07,1
280,286,2.37,0.3,0.15,-0.25,0.2,2.57,1
